Egg,Current Price,Orignal Price,Amount in dz,True Amount,Brand,Local,Address,State,City,Zip Code,Date Collected,Url
Born Free Large Brown Free Range Eggs - 12 Each,5.49,5.49,1.0,1 dz,Born free,Non-local,2900 University Ave. Suite 240,IA,West Des Moines,50266,2023-06-26,https://ww2.freshthyme.com/sm/planning/rsid/951/results?q=Eggs&take=48&f=Category%3AEggs
Eggland's Best Cage Free Large Brown Eggs - 1 Each,5.29,5.29,1.0,1 dz,Eggland's best,Non-local,2900 University Ave. Suite 240,IA,West Des Moines,50266,2023-06-26,https://ww2.freshthyme.com/sm/planning/rsid/951/results?q=Eggs&take=48&f=Category%3AEggs
Eggland's Best Cage Free Large Brown Eggs - 1 Each,5.29,5.29,1.0,1 dz,Eggland's best,Non-local,2130 E. Kimberly Rd.,IA,Davenport,52807,2023-06-26,https://ww2.freshthyme.com/sm/planning/rsid/952/results?q=Eggs&take=48&f=Category%3AEggs
Born Free Large Brown Free Range Eggs - 12 Each,5.49,5.49,1.0,1 dz,Born free,Non-local,2130 E. Kimberly Rd.,IA,Davenport,52807,2023-06-26,https://ww2.freshthyme.com/sm/planning/rsid/952/results?q=Eggs&take=48&f=Category%3AEggs
Beaver Creek Farm Medium Organic Brown Eggs - 1 Each,4.49,4.49,1.0,1 dz,Beaver creek farm,Local,2130 E. Kimberly Rd.,IA,Davenport,52807,2023-06-26,https://ww2.freshthyme.com/sm/planning/rsid/952/results?q=Eggs&take=48&f=Category%3AEggs
Eggland's Best Organic Large Brown Eggs - 1 Each,6.99,6.99,1.0,1 dz,Eggland's best,Non-local,2900 University Ave. Suite 240,IA,West Des Moines,50266,2023-06-26,https://ww2.freshthyme.com/sm/planning/rsid/951/results?q=Eggs&take=48&f=Category%3AEggs
Happy Egg Free Range Eggs 18ct - 1.5 Each,7.99,8.99,1.5,1.5 dz,Happy egg,Non-local,2900 University Ave. Suite 240,IA,West Des Moines,50266,2023-06-26,https://ww2.freshthyme.com/sm/planning/rsid/951/results?q=Eggs&take=48&f=Category%3AEggs
Happy Egg Heritage Breed Eggs - 1 Each,7.49,8.99,1.0,1 dz,Happy egg,Non-local,2900 University Ave. Suite 240,IA,West Des Moines,50266,2023-06-26,https://ww2.freshthyme.com/sm/planning/rsid/951/results?q=Eggs&take=48&f=Category%3AEggs
Eggland's Best Organic Large Brown Eggs - 1 Each,6.99,6.99,1.0,1 dz,Eggland's best,Non-local,2130 E. Kimberly Rd.,IA,Davenport,52807,2023-06-26,https://ww2.freshthyme.com/sm/planning/rsid/952/results?q=Eggs&take=48&f=Category%3AEggs
Penny Smart Large Grade A White Eggs - 1 Each,2.99,2.99,1.0,1 dz,Penny smart,Non-local,2900 University Ave. Suite 240,IA,West Des Moines,50266,2023-06-26,https://ww2.freshthyme.com/sm/planning/rsid/951/results?q=Eggs&take=48&f=Category%3AEggs
Happy Egg Free Range Large Grade A Brown Eggs - 1 Each,5.49,6.49,1.0,1 dz,Happy egg,Non-local,2900 University Ave. Suite 240,IA,West Des Moines,50266,2023-06-26,https://ww2.freshthyme.com/sm/planning/rsid/951/results?q=Eggs&take=48&f=Category%3AEggs
Vital Farms Organic Pasture Raised Large Eggs - 1 Each,7.49,9.99,1.0,1 dz,Vital farms,Non-local,2900 University Ave. Suite 240,IA,West Des Moines,50266,2023-06-26,https://ww2.freshthyme.com/sm/planning/rsid/951/results?q=Eggs&take=48&f=Category%3AEggs
Happy Egg Free Range Eggs 18ct - 1.5 Each,7.99,8.99,1.5,1.5 dz,Happy egg,Non-local,2130 E. Kimberly Rd.,IA,Davenport,52807,2023-06-26,https://ww2.freshthyme.com/sm/planning/rsid/952/results?q=Eggs&take=48&f=Category%3AEggs
Happy Egg Organic Free Range Large Grade A Eggs - 1 Each,6.99,7.49,1.0,1 dz,Happy egg,Non-local,2900 University Ave. Suite 240,IA,West Des Moines,50266,2023-06-26,https://ww2.freshthyme.com/sm/planning/rsid/951/results?q=Eggs&take=48&f=Category%3AEggs
Handsome Brook Farm Organic Pasture Raised Eggs - 1 Each,5.99,6.49,1.0,1 dz,Handsome brook farm,Non-local,2900 University Ave. Suite 240,IA,West Des Moines,50266,2023-06-26,https://ww2.freshthyme.com/sm/planning/rsid/951/results?q=Eggs&take=48&f=Category%3AEggs
Fresh Thyme Organic Large Grade A Brown Eggs - 1 Each,5.99,5.99,1.0,1 dz,Fresh thyme,Non-local,2900 University Ave. Suite 240,IA,West Des Moines,50266,2023-06-26,https://ww2.freshthyme.com/sm/planning/rsid/951/results?q=Eggs&take=48&f=Category%3AEggs
Happy Egg Free Range Large Grade A Brown Eggs - 1 Each,5.49,6.49,1.0,1 dz,Happy egg,Non-local,2130 E. Kimberly Rd.,IA,Davenport,52807,2023-06-26,https://ww2.freshthyme.com/sm/planning/rsid/952/results?q=Eggs&take=48&f=Category%3AEggs
Vital Farms Organic Pasture Raised Large Eggs - 1 Each,7.49,9.99,1.0,1 dz,Vital farms,Non-local,2130 E. Kimberly Rd.,IA,Davenport,52807,2023-06-26,https://ww2.freshthyme.com/sm/planning/rsid/952/results?q=Eggs&take=48&f=Category%3AEggs
Vital Farms Pasture Raised Large Eggs - 1 Each,6.49,8.99,1.0,1 dz,Vital farms,Non-local,2900 University Ave. Suite 240,IA,West Des Moines,50266,2023-06-26,https://ww2.freshthyme.com/sm/planning/rsid/951/results?q=Eggs&take=48&f=Category%3AEggs
Penny Smart Large Grade A White Eggs - 1 Each,2.99,2.99,1.0,1 dz,Penny smart,Non-local,2130 E. Kimberly Rd.,IA,Davenport,52807,2023-06-26,https://ww2.freshthyme.com/sm/planning/rsid/952/results?q=Eggs&take=48&f=Category%3AEggs
Happy Egg Organic Free Range Large Grade A Eggs - 1 Each,6.99,7.49,1.0,1 dz,Happy egg,Non-local,2130 E. Kimberly Rd.,IA,Davenport,52807,2023-06-26,https://ww2.freshthyme.com/sm/planning/rsid/952/results?q=Eggs&take=48&f=Category%3AEggs
Handsome Brook Farm Organic Pasture Raised Eggs - 1 Each,5.99,6.49,1.0,1 dz,Handsome brook farm,Non-local,2130 E. Kimberly Rd.,IA,Davenport,52807,2023-06-26,https://ww2.freshthyme.com/sm/planning/rsid/952/results?q=Eggs&take=48&f=Category%3AEggs
Fresh Thyme Organic Large Grade A Brown Eggs - 1 Each,5.99,5.99,1.0,1 dz,Fresh thyme,Non-local,2130 E. Kimberly Rd.,IA,Davenport,52807,2023-06-26,https://ww2.freshthyme.com/sm/planning/rsid/952/results?q=Eggs&take=48&f=Category%3AEggs
Vital Farms Pasture Raised Large Eggs - 1 Each,6.49,8.99,1.0,1 dz,Vital farms,Non-local,2130 E. Kimberly Rd.,IA,Davenport,52807,2023-06-26,https://ww2.freshthyme.com/sm/planning/rsid/952/results?q=Eggs&take=48&f=Category%3AEggs
