Tomatoes,Current Price,Orignal Price,Weight in lbs,True Weight,Organic,Brand,Local,Address,State,City,Zip Code,Latitude,Longitude,Store,Date Collected,Url
Tomatillos,3.99,3.99,1.0,$3.99/lb,,,,1101 2nd St,IA,Coralville,52241,41.6744321,-91.580342,New Pioneer Co-Op ,2023-07-10,https://shop.newpi.coop/shop/produce/fresh_vegetables/tomatoes/tomatillos/p/12573#!/?department_id=1322936
Organic Darling Grape Tomatoes,5.99,5.99,0.75,12 oz,True,,,1101 2nd St,IA,Coralville,52241,41.6744321,-91.580342,New Pioneer Co-Op ,2023-07-10,https://shop.newpi.coop/shop/produce/fresh_vegetables/tomatoes/organic_darling_grape_tomatoes/p/1564405684690758978#!/?department_id=1322936
Sorry!,Out of Stock,Out of Stock,Out of Stock,Out of Stock,Out of Stock,Out of stock,,1101 2nd St,IA,Coralville,52241,41.6744321,-91.580342,New Pioneer Co-Op ,2023-07-10,https://shop.newpi.coop/shop/produce/fresh_vegetables/tomatoes/heirloom_tomatoes/p/2311736
Roma Tomatoes,1.69,1.69,1.0,$1.69/lb,,,,900 South Locust Street,IA,Glenwood,51534,41.0391826,-95.7465211,Russ Market ,2023-07-10,https://www.russmarket.com/shop/produce/fresh_vegetables/tomatoes/roma_tomatoes/p/12447#!/?department_id=22508184
Tomatoes On The Vine,2.99,2.99,1.0,$2.99/lb,,,,900 South Locust Street,IA,Glenwood,51534,41.0391826,-95.7465211,Russ Market ,2023-07-10,https://www.russmarket.com/shop/produce/fresh_vegetables/tomatoes/tomatoes_on_the_vine/p/2311660#!/?department_id=22508184
Tomatoes Grape,3.49,3.49,,1 pt,,,,900 South Locust Street,IA,Glenwood,51534,41.0391826,-95.7465211,Russ Market ,2023-07-10,https://www.russmarket.com/shop/produce/fresh_vegetables/tomatoes/tomatoes_grape/p/1564405684709718017#!/?department_id=22508184
Nature Sweet Cherubs Heavenly Salad Tomatoes 10 Oz,4.49,4.49,0.625,10 oz,,Nature sweet,Non-local,900 South Locust Street,IA,Glenwood,51534,41.0391826,-95.7465211,Russ Market ,2023-07-10,https://www.russmarket.com/shop/produce/fresh_vegetables/tomatoes/nature_sweet_cherubs_heavenly_salad_tomatoes_10_oz/p/1564405684704878585#!/?department_id=22508184
On Vine Cherry Tomatoes,2.99,2.99,0.5625,9 oz,,,,900 South Locust Street,IA,Glenwood,51534,41.0391826,-95.7465211,Russ Market ,2023-07-10,https://www.russmarket.com/shop/produce/fresh_vegetables/tomatoes/on_vine_cherry_tomatoes/p/645688#!/?department_id=22508184
*Org*Cherry Tomatoes,3.49,3.49,,1 pt,True,,,900 South Locust Street,IA,Glenwood,51534,41.0391826,-95.7465211,Russ Market ,2023-07-10,https://www.russmarket.com/shop/produce/fresh_vegetables/tomatoes/org_cherry_tomatoes/p/151480#!/?department_id=22508184
Sorry!,Out of Stock,Out of Stock,Out of Stock,Out of Stock,Out of Stock,Out of stock,,900 South Locust Street,IA,Glenwood,51534,41.0391826,-95.7465211,Russ Market ,2023-07-10,https://www.russmarket.com/shop/produce/fresh_vegetables/tomatoes/red_sun_farms_sweet_pops_tomatoes_10_oz/p/1564405684704089139#!/?department_id=22508184
Sorry!,Out of Stock,Out of Stock,Out of Stock,Out of Stock,Out of Stock,Out of stock,,900 South Locust Street,IA,Glenwood,51534,41.0391826,-95.7465211,Russ Market ,2023-07-10,https://www.russmarket.com/shop/produce/fresh_vegetables/tomatoes/nature_sweet_tomatoes_fresh_ingredient_10_oz/p/1564405684704878584#!/?department_id=22508184
Sorry!,Out of Stock,Out of Stock,Out of Stock,Out of Stock,Out of Stock,Out of stock,,900 South Locust Street,IA,Glenwood,51534,41.0391826,-95.7465211,Russ Market ,2023-07-10,https://www.russmarket.com/shop/produce/fresh_vegetables/tomatoes/naturesweet_constellation_tomatoes/p/1564405684705657728#!/?department_id=22508184
"Regular Red Tomato, Large",1.29,2.79,1.0,$1.29/lb,,,,900 South Locust Street,IA,Glenwood,51534,41.0391826,-95.7465211,Russ Market ,2023-07-10,https://www.russmarket.com/shop/produce/fresh_vegetables/tomatoes/regular_red_tomato_large/p/12409#!/?department_id=22508184
Sorry!,Out of Stock,Out of Stock,Out of Stock,Out of Stock,Out of Stock,Out of stock,,900 South Locust Street,IA,Glenwood,51534,41.0391826,-95.7465211,Russ Market ,2023-07-10,https://www.russmarket.com/shop/produce/fresh_vegetables/tomatoes/tomato_on_the_vine_organic/p/2313397#!/?department_id=22508184
Beefsteak Tomato,2.49,2.49,1.0,$2.49/lb,,,,900 South Locust Street,IA,Glenwood,51534,41.0391826,-95.7465211,Russ Market ,2023-07-10,https://www.russmarket.com/shop/produce/fresh_vegetables/tomatoes/beefsteak_tomato/p/111605#!/?department_id=22508184
Sorry!,Out of Stock,Out of Stock,Out of Stock,Out of Stock,Out of Stock,Out of stock,,900 South Locust Street,IA,Glenwood,51534,41.0391826,-95.7465211,Russ Market ,2023-07-10,https://www.russmarket.com/shop/produce/fresh_vegetables/tomatoes/red_cocktail_intermediate_tomatoes/p/78471#!/?department_id=22508184
Sorry!,Out of Stock,Out of Stock,Out of Stock,Out of Stock,Out of Stock,Out of stock,,900 South Locust Street,IA,Glenwood,51534,41.0391826,-95.7465211,Russ Market ,2023-07-10,https://www.russmarket.com/shop/produce/fresh_vegetables/tomatoes/yellow_tomatoes/p/2311723#!/?department_id=22508184
Sorry!,Out of Stock,Out of Stock,Out of Stock,Out of Stock,Out of Stock,Out of stock,,900 South Locust Street,IA,Glenwood,51534,41.0391826,-95.7465211,Russ Market ,2023-07-10,https://www.russmarket.com/shop/produce/fresh_vegetables/tomatoes/nature_sweet_cherry_tomatoes_on_the_vine_d_vines/p/1564405684704300013#!/?department_id=22508184
Sorry!,Out of Stock,Out of Stock,Out of Stock,Out of Stock,Out of Stock,Out of stock,,900 South Locust Street,IA,Glenwood,51534,41.0391826,-95.7465211,Russ Market ,2023-07-10,https://www.russmarket.com/shop/produce/fresh_vegetables/tomatoes/tomatoes_hot_house/p/12571#!/?department_id=22508184
Sorry!,Out of Stock,Out of Stock,Out of Stock,Out of Stock,Out of Stock,Out of stock,,900 South Locust Street,IA,Glenwood,51534,41.0391826,-95.7465211,Russ Market ,2023-07-10,https://www.russmarket.com/shop/produce/fresh_vegetables/tomatoes/organic_grape_tomatoes/p/6830116#!/?department_id=22508184
Sorry!,Out of Stock,Out of Stock,Out of Stock,Out of Stock,Out of Stock,Out of stock,,900 South Locust Street,IA,Glenwood,51534,41.0391826,-95.7465211,Russ Market ,2023-07-10,https://www.russmarket.com/shop/produce/fresh_vegetables/tomatoes/signature_brand_organics_grape_tomatoes_organic/p/23476#!/?department_id=22508184
Sorry!,Out of Stock,Out of Stock,Out of Stock,Out of Stock,Out of Stock,Out of stock,,900 South Locust Street,IA,Glenwood,51534,41.0391826,-95.7465211,Russ Market ,2023-07-10,https://www.russmarket.com/shop/produce/fresh_vegetables/tomatoes/real_grape_tomatoes/p/2456990#!/?department_id=22508184
Sorry!,Out of Stock,Out of Stock,Out of Stock,Out of Stock,Out of Stock,Out of stock,,900 South Locust Street,IA,Glenwood,51534,41.0391826,-95.7465211,Russ Market ,2023-07-10,https://www.russmarket.com/shop/produce/fresh_vegetables/tomatoes/organic_grape_tomatoes/p/8036367#!/?department_id=22508184
Sorry!,Out of Stock,Out of Stock,Out of Stock,Out of Stock,Out of Stock,Out of stock,,900 South Locust Street,IA,Glenwood,51534,41.0391826,-95.7465211,Russ Market ,2023-07-10,https://www.russmarket.com/shop/produce/fresh_vegetables/tomatoes/sweet_pops_red_chry_snacking_tomato/p/1564405684705309980#!/?department_id=22508184
Sorry!,Out of Stock,Out of Stock,Out of Stock,Out of Stock,Out of Stock,Out of stock,,900 South Locust Street,IA,Glenwood,51534,41.0391826,-95.7465211,Russ Market ,2023-07-10,https://www.russmarket.com/shop/produce/fresh_vegetables/tomatoes/redsun_tomatoes_cocktail/p/645689#!/?department_id=22508184
Heirloom Tomatoes,3.99,3.99,1.0,$3.99/lb,,,,900 South Locust Street,IA,Glenwood,51534,41.0391826,-95.7465211,Russ Market ,2023-07-10,https://www.russmarket.com/shop/produce/fresh_vegetables/tomatoes/heirloom_tomatoes/p/12412#!/?department_id=22508184
Sorry!,Out of Stock,Out of Stock,Out of Stock,Out of Stock,Out of Stock,Out of stock,,900 South Locust Street,IA,Glenwood,51534,41.0391826,-95.7465211,Russ Market ,2023-07-10,https://www.russmarket.com/shop/produce/fresh_vegetables/heritage_tomatoes/p/1564405684712593332#!/?department_id=22508184
Tomatillos,1.99,1.99,1.0,$1.99/lb,,,,900 South Locust Street,IA,Glenwood,51534,41.0391826,-95.7465211,Russ Market ,2023-07-10,https://www.russmarket.com/shop/produce/fresh_vegetables/tomatoes/tomatillos/p/12573#!/?department_id=22508184
