Parcel Number,Photo,Address,Style,Year Built,Total SF,Lot Area,Appraised Value,Url
10.02.200.018,,"
              
                      ",,,,$630,$630,https://buchanan.iowaassessors.com/results.php?sort_options=2&sort=0&mode=resbld&history=-1&occupancy1=&style1=&year1=&year2=&tla1=&tla2=&bedroom1=Equals&bedroom2=&ac1=&fireplace1=&bsmt1=&atticsf1=&atticsf2=&bsmtfin1=&bsmtfin2=&garatt1=&garatt2=&gardet1=&gardet2=&lot1=&lot2=&location1=&class1=2&dc=&maparea1=&dist1=5&appraised1=&appraised2=&sale_date1=&sale_date2=&sale_amt1=&sale_amt2=&nutc1=100%2C0%2C122%2C126%2C134%2C135%2C136%2C140%2C141%2C143%2C145%2C147%2C105%2C154%2C155%2C158%2C107%2C167%2C170%2C176%2C110%2C112%2C116
10.03.326.005,,"
              INDEPENDENCE
                      ",,,,"$2,560","$2,560",https://buchanan.iowaassessors.com/results.php?sort_options=2&sort=0&mode=resbld&history=-1&occupancy1=&style1=&year1=&year2=&tla1=&tla2=&bedroom1=Equals&bedroom2=&ac1=&fireplace1=&bsmt1=&atticsf1=&atticsf2=&bsmtfin1=&bsmtfin2=&garatt1=&garatt2=&gardet1=&gardet2=&lot1=&lot2=&location1=&class1=2&dc=&maparea1=&dist1=5&appraised1=&appraised2=&sale_date1=&sale_date2=&sale_amt1=&sale_amt2=&nutc1=100%2C0%2C122%2C126%2C134%2C135%2C136%2C140%2C141%2C143%2C145%2C147%2C105%2C154%2C155%2C158%2C107%2C167%2C170%2C176%2C110%2C112%2C116
10.04.280.015,,"
              
                      ",,,,"$2,220","$2,220",https://buchanan.iowaassessors.com/results.php?sort_options=2&sort=0&mode=resbld&history=-1&occupancy1=&style1=&year1=&year2=&tla1=&tla2=&bedroom1=Equals&bedroom2=&ac1=&fireplace1=&bsmt1=&atticsf1=&atticsf2=&bsmtfin1=&bsmtfin2=&garatt1=&garatt2=&gardet1=&gardet2=&lot1=&lot2=&location1=&class1=2&dc=&maparea1=&dist1=5&appraised1=&appraised2=&sale_date1=&sale_date2=&sale_amt1=&sale_amt2=&nutc1=100%2C0%2C122%2C126%2C134%2C135%2C136%2C140%2C141%2C143%2C145%2C147%2C105%2C154%2C155%2C158%2C107%2C167%2C170%2C176%2C110%2C112%2C116
10.04.334.005,,"
              INDEPENDENCE
                      ",,,,"$5,650","$5,650",https://buchanan.iowaassessors.com/results.php?sort_options=2&sort=0&mode=resbld&history=-1&occupancy1=&style1=&year1=&year2=&tla1=&tla2=&bedroom1=Equals&bedroom2=&ac1=&fireplace1=&bsmt1=&atticsf1=&atticsf2=&bsmtfin1=&bsmtfin2=&garatt1=&garatt2=&gardet1=&gardet2=&lot1=&lot2=&location1=&class1=2&dc=&maparea1=&dist1=5&appraised1=&appraised2=&sale_date1=&sale_date2=&sale_amt1=&sale_amt2=&nutc1=100%2C0%2C122%2C126%2C134%2C135%2C136%2C140%2C141%2C143%2C145%2C147%2C105%2C154%2C155%2C158%2C107%2C167%2C170%2C176%2C110%2C112%2C116
10.04.351.007,,"
              
                      ",,,,"$20,500","$20,500",https://buchanan.iowaassessors.com/results.php?sort_options=2&sort=0&mode=resbld&history=-1&occupancy1=&style1=&year1=&year2=&tla1=&tla2=&bedroom1=Equals&bedroom2=&ac1=&fireplace1=&bsmt1=&atticsf1=&atticsf2=&bsmtfin1=&bsmtfin2=&garatt1=&garatt2=&gardet1=&gardet2=&lot1=&lot2=&location1=&class1=2&dc=&maparea1=&dist1=5&appraised1=&appraised2=&sale_date1=&sale_date2=&sale_amt1=&sale_amt2=&nutc1=100%2C0%2C122%2C126%2C134%2C135%2C136%2C140%2C141%2C143%2C145%2C147%2C105%2C154%2C155%2C158%2C107%2C167%2C170%2C176%2C110%2C112%2C116
10.09.206.014,,"
              
                      ",,,,"$1,980","$1,980",https://buchanan.iowaassessors.com/results.php?sort_options=2&sort=0&mode=resbld&history=-1&occupancy1=&style1=&year1=&year2=&tla1=&tla2=&bedroom1=Equals&bedroom2=&ac1=&fireplace1=&bsmt1=&atticsf1=&atticsf2=&bsmtfin1=&bsmtfin2=&garatt1=&garatt2=&gardet1=&gardet2=&lot1=&lot2=&location1=&class1=2&dc=&maparea1=&dist1=5&appraised1=&appraised2=&sale_date1=&sale_date2=&sale_amt1=&sale_amt2=&nutc1=100%2C0%2C122%2C126%2C134%2C135%2C136%2C140%2C141%2C143%2C145%2C147%2C105%2C154%2C155%2C158%2C107%2C167%2C170%2C176%2C110%2C112%2C116
15.05.300.009,,"
              
                      ",,,,"$11,990","$11,990",https://buchanan.iowaassessors.com/results.php?sort_options=2&sort=0&mode=resbld&history=-1&occupancy1=&style1=&year1=&year2=&tla1=&tla2=&bedroom1=Equals&bedroom2=&ac1=&fireplace1=&bsmt1=&atticsf1=&atticsf2=&bsmtfin1=&bsmtfin2=&garatt1=&garatt2=&gardet1=&gardet2=&lot1=&lot2=&location1=&class1=2&dc=&maparea1=&dist1=5&appraised1=&appraised2=&sale_date1=&sale_date2=&sale_amt1=&sale_amt2=&nutc1=100%2C0%2C122%2C126%2C134%2C135%2C136%2C140%2C141%2C143%2C145%2C147%2C105%2C154%2C155%2C158%2C107%2C167%2C170%2C176%2C110%2C112%2C116
06.35.355.004,https://photos.camavision.com/7bff8c97f11a8275aaaf7fea347a0104/70,"
            308 10TH AVE NE, INDEPENDENCE
                      ",Split Foyer Frame,1975,1056,"$141,540","$141,540",https://buchanan.iowaassessors.com/results.php?sort_options=2&sort=0&mode=resbld&history=-1&occupancy1=&style1=&year1=&year2=&tla1=&tla2=&bedroom1=Equals&bedroom2=&ac1=&fireplace1=&bsmt1=&atticsf1=&atticsf2=&bsmtfin1=&bsmtfin2=&garatt1=&garatt2=&gardet1=&gardet2=&lot1=&lot2=&location1=&class1=2&dc=&maparea1=&dist1=5&appraised1=&appraised2=&sale_date1=&sale_date2=&sale_amt1=&sale_amt2=&nutc1=100%2C0%2C122%2C126%2C134%2C135%2C136%2C140%2C141%2C143%2C145%2C147%2C105%2C154%2C155%2C158%2C107%2C167%2C170%2C176%2C110%2C112%2C116
06.35.355.001,https://photos.camavision.com/d5c8883dcbd25481a2b018728447c3f2/70,"
            314 10TH AVE NE, INDEPENDENCE
                      ",1 Story Frame,1960,960,"$128,170","$128,170",https://buchanan.iowaassessors.com/results.php?sort_options=2&sort=0&mode=resbld&history=-1&occupancy1=&style1=&year1=&year2=&tla1=&tla2=&bedroom1=Equals&bedroom2=&ac1=&fireplace1=&bsmt1=&atticsf1=&atticsf2=&bsmtfin1=&bsmtfin2=&garatt1=&garatt2=&gardet1=&gardet2=&lot1=&lot2=&location1=&class1=2&dc=&maparea1=&dist1=5&appraised1=&appraised2=&sale_date1=&sale_date2=&sale_amt1=&sale_amt2=&nutc1=100%2C0%2C122%2C126%2C134%2C135%2C136%2C140%2C141%2C143%2C145%2C147%2C105%2C154%2C155%2C158%2C107%2C167%2C170%2C176%2C110%2C112%2C116
06.33.479.018,https://photos.camavision.com/750a9b2e6cc4e16de55ef1e61fa1b20e/70,"
            305 10TH AVE NW, INDEPENDENCE
                      ",1 Story Frame,1988,1061,"$150,060","$150,060",https://buchanan.iowaassessors.com/results.php?sort_options=2&sort=0&mode=resbld&history=-1&occupancy1=&style1=&year1=&year2=&tla1=&tla2=&bedroom1=Equals&bedroom2=&ac1=&fireplace1=&bsmt1=&atticsf1=&atticsf2=&bsmtfin1=&bsmtfin2=&garatt1=&garatt2=&gardet1=&gardet2=&lot1=&lot2=&location1=&class1=2&dc=&maparea1=&dist1=5&appraised1=&appraised2=&sale_date1=&sale_date2=&sale_amt1=&sale_amt2=&nutc1=100%2C0%2C122%2C126%2C134%2C135%2C136%2C140%2C141%2C143%2C145%2C147%2C105%2C154%2C155%2C158%2C107%2C167%2C170%2C176%2C110%2C112%2C116
06.27.151.010,https://photos.camavision.com/0af909e2afd4e06cc70d871347484b4a/70,"
              
                      ",,,,$630,$630,https://buchanan.iowaassessors.com/results.php?page=1&history=-85&ts=1688575587https://buchanan.iowaassessors.com/results.php?page=2&history=-2&ts=1688575587
06.33.453.002,https://photos.camavision.com/bf376d13074083f70da27bc4ddc9bec8/70,"
              INDEPENDENCE
                      ",,,,"$13,470","$13,470",https://buchanan.iowaassessors.com/results.php?page=1&history=-85&ts=1688575587https://buchanan.iowaassessors.com/results.php?page=2&history=-2&ts=1688575587
06.34.153.004,,"
              
                      ",,,,"$1,360","$1,360",https://buchanan.iowaassessors.com/results.php?page=1&history=-85&ts=1688575587https://buchanan.iowaassessors.com/results.php?page=2&history=-2&ts=1688575587
06.34.229.024,,"
              INDEPENDENCE
                      ",,,,"$11,900","$11,900",https://buchanan.iowaassessors.com/results.php?page=1&history=-85&ts=1688575587https://buchanan.iowaassessors.com/results.php?page=2&history=-2&ts=1688575587
06.34.376.010,https://photos.camavision.com/35a028e45732dec2f51ccc15a495f62e/70,"
              
                      ",,,,"$16,450","$16,450",https://buchanan.iowaassessors.com/results.php?page=1&history=-85&ts=1688575587https://buchanan.iowaassessors.com/results.php?page=2&history=-2&ts=1688575587
06.34.459.010,,"
              
                      ",,,,"$2,530","$2,530",https://buchanan.iowaassessors.com/results.php?page=1&history=-85&ts=1688575587https://buchanan.iowaassessors.com/results.php?page=2&history=-2&ts=1688575587
06.34.490.018,https://photos.camavision.com/30a8f3b59f0fa964e1c7f0c7109263c4/70,"
              
                      ",,,,"$2,350","$2,350",https://buchanan.iowaassessors.com/results.php?page=1&history=-85&ts=1688575587https://buchanan.iowaassessors.com/results.php?page=2&history=-2&ts=1688575587
06.35.156.003,,"
              INDEPENDENCE
                      ",1 Story Frame,1900,0,"$10,720","$10,720",https://buchanan.iowaassessors.com/results.php?page=1&history=-85&ts=1688575587https://buchanan.iowaassessors.com/results.php?page=2&history=-2&ts=1688575587
06.35.305.002,https://photos.camavision.com/a45f4d41a197a41dea11da8b3e24f61d/70,"
              
                      ",,,,"$7,540","$7,540",https://buchanan.iowaassessors.com/results.php?page=1&history=-85&ts=1688575587https://buchanan.iowaassessors.com/results.php?page=2&history=-2&ts=1688575587
10.02.100.001,,"
              
                      ",,,,"$12,960","$12,960",https://buchanan.iowaassessors.com/results.php?page=1&history=-85&ts=1688575587https://buchanan.iowaassessors.com/results.php?page=2&history=-2&ts=1688575587
10.02.200.018,,"
              
                      ",,,,$630,$630,https://buchanan.iowaassessors.com/results.php?page=1&history=-85&ts=1688575587https://buchanan.iowaassessors.com/results.php?page=2&history=-2&ts=1688575587
10.03.326.005,,"
              INDEPENDENCE
                      ",,,,"$2,560","$2,560",https://buchanan.iowaassessors.com/results.php?page=1&history=-85&ts=1688575587https://buchanan.iowaassessors.com/results.php?page=2&history=-2&ts=1688575587
10.04.280.015,,"
              
                      ",,,,"$2,220","$2,220",https://buchanan.iowaassessors.com/results.php?page=1&history=-85&ts=1688575587https://buchanan.iowaassessors.com/results.php?page=2&history=-2&ts=1688575587
10.04.334.005,,"
              INDEPENDENCE
                      ",,,,"$5,650","$5,650",https://buchanan.iowaassessors.com/results.php?page=1&history=-85&ts=1688575587https://buchanan.iowaassessors.com/results.php?page=2&history=-2&ts=1688575587
10.04.351.007,,"
              
                      ",,,,"$20,500","$20,500",https://buchanan.iowaassessors.com/results.php?page=1&history=-85&ts=1688575587https://buchanan.iowaassessors.com/results.php?page=2&history=-2&ts=1688575587
10.09.206.014,,"
              
                      ",,,,"$1,980","$1,980",https://buchanan.iowaassessors.com/results.php?page=1&history=-85&ts=1688575587https://buchanan.iowaassessors.com/results.php?page=2&history=-2&ts=1688575587
15.05.300.009,,"
              
                      ",,,,"$11,990","$11,990",https://buchanan.iowaassessors.com/results.php?page=1&history=-85&ts=1688575587https://buchanan.iowaassessors.com/results.php?page=2&history=-2&ts=1688575587
06.35.355.004,https://photos.camavision.com/7bff8c97f11a8275aaaf7fea347a0104/70,"
            308 10TH AVE NE, INDEPENDENCE
                      ",Split Foyer Frame,1975,1056,"$141,540","$141,540",https://buchanan.iowaassessors.com/results.php?page=1&history=-85&ts=1688575587https://buchanan.iowaassessors.com/results.php?page=2&history=-2&ts=1688575587
06.35.355.001,https://photos.camavision.com/d5c8883dcbd25481a2b018728447c3f2/70,"
            314 10TH AVE NE, INDEPENDENCE
                      ",1 Story Frame,1960,960,"$128,170","$128,170",https://buchanan.iowaassessors.com/results.php?page=1&history=-85&ts=1688575587https://buchanan.iowaassessors.com/results.php?page=2&history=-2&ts=1688575587
06.33.479.018,https://photos.camavision.com/750a9b2e6cc4e16de55ef1e61fa1b20e/70,"
            305 10TH AVE NW, INDEPENDENCE
                      ",1 Story Frame,1988,1061,"$150,060","$150,060",https://buchanan.iowaassessors.com/results.php?page=1&history=-85&ts=1688575587https://buchanan.iowaassessors.com/results.php?page=2&history=-2&ts=1688575587
06.35.356.003,https://photos.camavision.com/ab01f5b89961fde901d97826c1bb7cdb/70,"
            308 11TH AVE NE, INDEPENDENCE
                      ",Split Level Frame,1969,1198,"$151,330","$151,330",https://buchanan.iowaassessors.com/results.php?page=3&history=-3&ts=1688575587
06.35.355.005,https://photos.camavision.com/b3e5a1e70e60adedf4a196e4ca2af8e2/70,"
            309 11TH AVE NE, INDEPENDENCE
                      ",1 Story Frame,1959,1308,"$197,920","$197,920",https://buchanan.iowaassessors.com/results.php?page=3&history=-3&ts=1688575587
06.35.355.003,https://photos.camavision.com/e40dbdec0b2f92a0daafb68a858f19a9/70,"
            315 11TH AVE NE, INDEPENDENCE
                      ",1 Story Frame,1960,1328,"$233,470","$233,470",https://buchanan.iowaassessors.com/results.php?page=3&history=-3&ts=1688575587
06.35.312.005,https://photos.camavision.com/6d02fa399c9c57250d57ebd631917dbf/70,"
            400 11TH AVE NE, INDEPENDENCE
                      ",Split Foyer Frame,1979,1400,"$226,860","$226,860",https://buchanan.iowaassessors.com/results.php?page=3&history=-3&ts=1688575587
06.35.308.002,https://photos.camavision.com/aaa83e0a15aca5f3698b995574426308/70,"
            415 11TH AVE NE, INDEPENDENCE
                      ",1 Story Frame,2003,2606,"$475,790","$475,790",https://buchanan.iowaassessors.com/results.php?page=3&history=-3&ts=1688575587
06.35.309.002,https://photos.camavision.com/c8e0ada6fa600f20d0240d412c326090/70,"
            512 11TH AVE NE, INDEPENDENCE
                      ",1 Story Frame,1994,1231,"$213,480","$213,480",https://buchanan.iowaassessors.com/results.php?page=3&history=-3&ts=1688575587
06.35.314.005,https://photos.camavision.com/9494d83745137229df09a416cc33e0d5/70,"
            601 11TH AVE NE, INDEPENDENCE
                      ",1 Story Frame,1998,2051,"$381,040","$381,040",https://buchanan.iowaassessors.com/results.php?page=3&history=-3&ts=1688575587
06.33.478.015,https://photos.camavision.com/8b9f40000e22097b550763d8ae394f43/70,"
            305 11TH AVE NW, INDEPENDENCE
                      ",Split Foyer Frame,1981,858,"$162,180","$162,180",https://buchanan.iowaassessors.com/results.php?page=3&history=-3&ts=1688575587
06.33.479.005,,"
            314 11TH AVE NW, INDEPENDENCE
                      ",Split Foyer Frame,1980,858,"$147,840","$147,840",https://buchanan.iowaassessors.com/results.php?page=3&history=-3&ts=1688575587
06.33.478.012,https://photos.camavision.com/9ed2c6e36c5ae2b3603a8a2e24a12020/70,"
            401 11TH AVE NW, INDEPENDENCE
                      ",Split Foyer Frame,1980,864,"$122,250","$122,250",https://buchanan.iowaassessors.com/results.php?page=3&history=-3&ts=1688575587
06.33.479.002,https://photos.camavision.com/9c7bd7222a5c6ba19989ae640734c4fa/70,"
            410 11TH AVE NW, INDEPENDENCE
                      ",Split Foyer Frame,1980,858,"$167,030","$167,030",https://buchanan.iowaassessors.com/results.php?page=3&history=-3&ts=1688575587
06.33.478.010,https://photos.camavision.com/2edc655b6edeaf270b9e3c08e2a6f90d/70,"
            411 11TH AVE NW, INDEPENDENCE
                      ",1 Story Frame,1979,1056,"$175,850","$175,850",https://buchanan.iowaassessors.com/results.php?page=3&history=-3&ts=1688575587
06.35.381.024,https://photos.camavision.com/d450c247cbdd6f947757e80a4635d865/70,"
            100 12TH AVE NE, INDEPENDENCE
                      ",1 Story Frame,1960,4254,"$377,130","$377,130",https://buchanan.iowaassessors.com/results.php?page=3&history=-3&ts=1688575587
06.35.380.007,https://photos.camavision.com/cd181704b7aa3bf076e0548f21fe5bb0/70,"
            111 12TH AVE NE, INDEPENDENCE
                      ",1 Story Frame,1949,1396,"$135,290","$135,290",https://buchanan.iowaassessors.com/results.php?page=3&history=-3&ts=1688575587
06.35.381.005,https://photos.camavision.com/a6aa61e354559f832eeb4f0d09134498/70,"
            200 12TH AVE NE, INDEPENDENCE
                      ",1 Story Frame,1953,1058,"$116,070","$116,070",https://buchanan.iowaassessors.com/results.php?page=3&history=-3&ts=1688575587
06.35.380.006,https://photos.camavision.com/ee8e023a4318baef15071798750c6fa3/70,"
            201 12TH AVE NE, INDEPENDENCE
                      ",1 Story Frame,1960,1176,"$172,240","$172,240",https://buchanan.iowaassessors.com/results.php?page=3&history=-3&ts=1688575587
06.35.380.004,https://photos.camavision.com/0909ce7017b468fa0197b71d13d3ed16/70,"
            207 12TH AVE NE, INDEPENDENCE
                      ",1 Story Frame,1959,1270,"$166,720","$166,720",https://buchanan.iowaassessors.com/results.php?page=3&history=-3&ts=1688575587
06.35.381.003,https://photos.camavision.com/b9369a1c29eb9a85267572a1d37367bf/70,"
            210 12TH AVE NE, INDEPENDENCE
                      ",1 Story Frame,1952,1068,"$160,080","$160,080",https://buchanan.iowaassessors.com/results.php?page=3&history=-3&ts=1688575587
06.35.381.002,,"
            212 12TH AVE NE, INDEPENDENCE
                      ",1 Story Frame,1960,1040,"$126,550","$126,550",https://buchanan.iowaassessors.com/results.php?page=3&history=-3&ts=1688575587
06.35.381.001,https://photos.camavision.com/3ca971dd65fb40bd8be44cd88759d5ea/70,"
            216 12TH AVE NE, INDEPENDENCE
                      ",1 Story Frame,1954,1334,"$129,270","$129,270",https://buchanan.iowaassessors.com/results.php?page=3&history=-3&ts=1688575587
06.33.478.007,https://photos.camavision.com/93b340c01af1e8096a1d64d1841ce696/70,"
            304 12TH AVE NW, INDEPENDENCE
                      ",1 Story Frame,1982,960,"$165,490","$165,490",https://buchanan.iowaassessors.com/results.php?page=4&history=-4&ts=1688575587
06.33.478.006,https://photos.camavision.com/9409be81f491bb09d27cc432985ad64b/70,"
            310 12TH AVE NW, INDEPENDENCE
                      ",1 Story Frame,1981,960,"$146,480","$146,480",https://buchanan.iowaassessors.com/results.php?page=4&history=-4&ts=1688575587
06.33.478.004,https://photos.camavision.com/b14f7568fa817b0bbf3520e28259b62a/70,"
            400 12TH AVE NW, INDEPENDENCE
                      ",Split Foyer Frame,1982,858,"$182,450","$182,450",https://buchanan.iowaassessors.com/results.php?page=4&history=-4&ts=1688575587
06.33.478.002,https://photos.camavision.com/d16c9b0099e37fad751eb0eb413e42fc/70,"
            410 12TH AVE NW, INDEPENDENCE
                      ",1 Story Frame,1982,960,"$150,250","$150,250",https://buchanan.iowaassessors.com/results.php?page=4&history=-4&ts=1688575587
06.33.477.002,https://photos.camavision.com/71daf7a9257d958de299e911c83a48f5/70,"
            413 12TH AVE NW, INDEPENDENCE
                      ",1 Story Frame,1983,1008,"$156,830","$156,830",https://buchanan.iowaassessors.com/results.php?page=4&history=-4&ts=1688575587
06.33.478.001,https://photos.camavision.com/4381feeccb3b2fe7f4daba0d5e4a99aa/70,"
            414 12TH AVE NW, INDEPENDENCE
                      ",1 Story Frame,1982,960,"$144,330","$144,330",https://buchanan.iowaassessors.com/results.php?page=4&history=-4&ts=1688575587
06.34.255.002,https://photos.camavision.com/9ebca02141e41110c4ee67e226c7db19/70,"
            109 12TH ST NE, INDEPENDENCE
                      ",1 Story Frame,1907,528,"$39,230","$39,230",https://buchanan.iowaassessors.com/results.php?page=4&history=-4&ts=1688575587
