Tomatoes,Current Price,Orignal Price,Weight in lbs,True Weight,Organic,Brand,Address,State,City,Zip Code,Date Collected,Url
Flavor Bombs Cherry Tomatoes On The Vine - 12 Ounce,2.99,4.99,0.75,12 oz,,,2130 E. Kimberly Rd.,IA,Davenport,52807,2023-07-10,https://ww2.freshthyme.com/sm/planning/rsid/952/results?q=Tomatoes&take=48&f=Category%3AFresh+Vegetables
Organic Grape Tomatoes Pint - 1 Each,3.99,3.99,,pint - 1 each,True,,2130 E. Kimberly Rd.,IA,Davenport,52807,2023-07-10,https://ww2.freshthyme.com/sm/planning/rsid/952/results?q=Tomatoes&take=48&f=Category%3AFresh+Vegetables
Wild Wonders Tomatoes - 12 Ounce,3.99,3.99,0.75,12 oz,,,2130 E. Kimberly Rd.,IA,Davenport,52807,2023-07-10,https://ww2.freshthyme.com/sm/planning/rsid/952/results?q=Tomatoes&take=48&f=Category%3AFresh+Vegetables
Organic On The Vine Cluster Tomatoes - 1.5 Pound,5.99,5.99,1.5,1.5 lb,True,,2130 E. Kimberly Rd.,IA,Davenport,52807,2023-07-10,https://ww2.freshthyme.com/sm/planning/rsid/952/results?q=Tomatoes&take=48&f=Category%3AFresh+Vegetables
Nature Sweet Cherub Tomatoes - 10 Ounce,3.99,3.99,0.625,10 oz,,,2130 E. Kimberly Rd.,IA,Davenport,52807,2023-07-10,https://ww2.freshthyme.com/sm/planning/rsid/952/results?q=Tomatoes&take=48&f=Category%3AFresh+Vegetables
Organic Darkloom Tomato - 0.8 Pound,3.99,3.99,0.8,0.8 lb,True,,2130 E. Kimberly Rd.,IA,Davenport,52807,2023-07-10,https://ww2.freshthyme.com/sm/planning/rsid/952/results?q=Tomatoes&take=48&f=Category%3AFresh+Vegetables
Organic Sangria Tomatoes - 10 Ounce,3.99,3.99,0.625,10 oz,True,,2130 E. Kimberly Rd.,IA,Davenport,52807,2023-07-10,https://ww2.freshthyme.com/sm/planning/rsid/952/results?q=Tomatoes&take=48&f=Category%3AFresh+Vegetables
Organic Beefsteak Tomatoes - 10 Ounce,3.99,3.99,0.625,10 oz,True,,2130 E. Kimberly Rd.,IA,Davenport,52807,2023-07-10,https://ww2.freshthyme.com/sm/planning/rsid/952/results?q=Tomatoes&take=48&f=Category%3AFresh+Vegetables
On The Vine Cluster Tomatoes - 0.8 Pound,1.59,1.59,0.8,0.8 lb,,,2130 E. Kimberly Rd.,IA,Davenport,52807,2023-07-10,https://ww2.freshthyme.com/sm/planning/rsid/952/results?q=Tomatoes&take=48&f=Category%3AFresh+Vegetables
Cocktail Tomatoes (campari) - 16 Ounce,2.99,3.99,1.0,16 oz,,,2130 E. Kimberly Rd.,IA,Davenport,52807,2023-07-10,https://ww2.freshthyme.com/sm/planning/rsid/952/results?q=Tomatoes&take=48&f=Category%3AFresh+Vegetables
Grape Tomatoes - 1.5 Pound,4.99,4.99,1.5,1.5 lb,,,2130 E. Kimberly Rd.,IA,Davenport,52807,2023-07-10,https://ww2.freshthyme.com/sm/planning/rsid/952/results?q=Tomatoes&take=48&f=Category%3AFresh+Vegetables
Roma Tomatoes - 0.75 Pound,1.19,1.19,0.75,0.75 lb,,,2130 E. Kimberly Rd.,IA,Davenport,52807,2023-07-10,https://ww2.freshthyme.com/sm/planning/rsid/952/results?q=Tomatoes&take=48&f=Category%3AFresh+Vegetables
Grape Tomatoes Pint - 1 Each,2.99,2.99,,pint - 1 each,,,2130 E. Kimberly Rd.,IA,Davenport,52807,2023-07-10,https://ww2.freshthyme.com/sm/planning/rsid/952/results?q=Tomatoes&take=48&f=Category%3AFresh+Vegetables
Nature Fresh Organic Red Hiiros Cherry Tomatoes - 10 Ounce,2.99,3.99,0.625,10 oz,True,,2900 University Ave. Suite 240,IA,West Des Moines,50266,2023-07-10,https://ww2.freshthyme.com/sm/planning/rsid/951/results?q=Tomatoes&take=48&f=Category%3AFresh+Vegetables
Nature Fresh Organic Red Hiiros Cherry Tomatoes - 10 Ounce,2.99,3.99,0.625,10 oz,True,,2900 University Ave. Suite 240,IA,West Des Moines,50266,2023-07-10,https://ww2.freshthyme.com/sm/planning/rsid/951/results?q=Tomatoes&take=48&f=Category%3AFresh+Vegetables
Organic On The Vine Cluster Tomatoes - 1.5 Pound,5.99,5.99,1.5,1.5 lb,True,,2900 University Ave. Suite 240,IA,West Des Moines,50266,2023-07-10,https://ww2.freshthyme.com/sm/planning/rsid/951/results?q=Tomatoes&take=48&f=Category%3AFresh+Vegetables
Flavor Bombs Cherry Tomatoes On The Vine - 12 Ounce,2.99,4.99,0.75,12 oz,,,2900 University Ave. Suite 240,IA,West Des Moines,50266,2023-07-10,https://ww2.freshthyme.com/sm/planning/rsid/951/results?q=Tomatoes&take=48&f=Category%3AFresh+Vegetables
Heirloom Tomatoes - 0.8 Pound,3.99,3.99,0.8,0.8 lb,,,2900 University Ave. Suite 240,IA,West Des Moines,50266,2023-07-10,https://ww2.freshthyme.com/sm/planning/rsid/951/results?q=Tomatoes&take=48&f=Category%3AFresh+Vegetables
Organic Roma Tomatoes 1 Lb Bag - 1 Each,2.99,2.99,1,1 lb bag,True,,2900 University Ave. Suite 240,IA,West Des Moines,50266,2023-07-10,https://ww2.freshthyme.com/sm/planning/rsid/951/results?q=Tomatoes&take=48&f=Category%3AFresh+Vegetables
Grape Tomatoes - 1.5 Pound,4.99,4.99,1.5,1.5 lb,,,2900 University Ave. Suite 240,IA,West Des Moines,50266,2023-07-10,https://ww2.freshthyme.com/sm/planning/rsid/951/results?q=Tomatoes&take=48&f=Category%3AFresh+Vegetables
Roma Tomatoes - 0.75 Pound,1.19,1.19,0.75,0.75 lb,,,2900 University Ave. Suite 240,IA,West Des Moines,50266,2023-07-10,https://ww2.freshthyme.com/sm/planning/rsid/951/results?q=Tomatoes&take=48&f=Category%3AFresh+Vegetables
