Eggs,Current Price,Orignal Price,Amount in dz,True Amount,Brand,Local,Address,State,City,Zip Code,Date Collected,Url,Store
Happy Egg Free Range Large Grade A Brown Eggs - 1 Each,5.49,6.49,1.0,1 dz,Happy egg,Non-local,2130 E. Kimberly Rd.,IA,Davenport,52807,2023-07-03,https://ww2.freshthyme.com/sm/planning/rsid/952/results?q=Eggs&take=48&f=Category%3AEggs,Fresh Thyme 
Happy Egg Free Range Eggs 18ct - 1.5 Each,7.99,8.99,1.5,1.5 dz,Happy egg,Non-local,2130 E. Kimberly Rd.,IA,Davenport,52807,2023-07-03,https://ww2.freshthyme.com/sm/planning/rsid/952/results?q=Eggs&take=48&f=Category%3AEggs,Fresh Thyme 
Penny Smart Large Grade A White Eggs - 1 Each,2.99,2.99,1.0,1 dz,Penny smart,Non-local,2130 E. Kimberly Rd.,IA,Davenport,52807,2023-07-03,https://ww2.freshthyme.com/sm/planning/rsid/952/results?q=Eggs&take=48&f=Category%3AEggs,Fresh Thyme 
Happy Egg Heritage Breed Eggs - 1 Each,7.49,8.99,1.0,1 dz,Happy egg,Non-local,2130 E. Kimberly Rd.,IA,Davenport,52807,2023-07-03,https://ww2.freshthyme.com/sm/planning/rsid/952/results?q=Eggs&take=48&f=Category%3AEggs,Fresh Thyme 
Handsome Brook Farm Organic Pasture Raised Eggs - 1 Each,5.99,6.49,1.0,1 dz,Handsome brook farm,Non-local,2130 E. Kimberly Rd.,IA,Davenport,52807,2023-07-03,https://ww2.freshthyme.com/sm/planning/rsid/952/results?q=Eggs&take=48&f=Category%3AEggs,Fresh Thyme 
Happy Egg Organic Free Range Large Grade A Eggs - 1 Each,6.99,7.49,1.0,1 dz,Happy egg,Non-local,2130 E. Kimberly Rd.,IA,Davenport,52807,2023-07-03,https://ww2.freshthyme.com/sm/planning/rsid/952/results?q=Eggs&take=48&f=Category%3AEggs,Fresh Thyme 
Fresh Thyme Cage Free Jumbo Grade A Brown Eggs - 1 Each,4.79,4.79,1.0,1 dz,Fresh thyme,Non-local,2900 University Ave. Suite 240,IA,West Des Moines,50266,2023-07-03,https://ww2.freshthyme.com/sm/planning/rsid/951/results?q=Eggs&take=48&f=Category%3AEggs,Fresh Thyme 
Born Free Large Brown Free Range Eggs - 12 Each,5.49,5.49,1.0,1 dz,Born free,Non-local,2900 University Ave. Suite 240,IA,West Des Moines,50266,2023-07-03,https://ww2.freshthyme.com/sm/planning/rsid/951/results?q=Eggs&take=48&f=Category%3AEggs,Fresh Thyme 
Fresh Thyme Organic Large Grade A Brown Eggs - 1 Each,5.99,5.99,1.0,1 dz,Fresh thyme,Non-local,2130 E. Kimberly Rd.,IA,Davenport,52807,2023-07-03,https://ww2.freshthyme.com/sm/planning/rsid/952/results?q=Eggs&take=48&f=Category%3AEggs,Fresh Thyme 
Eggland's Best Organic Large Brown Eggs - 1 Each,6.99,6.99,1.0,1 dz,Eggland's best,Non-local,2900 University Ave. Suite 240,IA,West Des Moines,50266,2023-07-03,https://ww2.freshthyme.com/sm/planning/rsid/951/results?q=Eggs&take=48&f=Category%3AEggs,Fresh Thyme 
Happy Egg Free Range Eggs 18ct - 1.5 Each,7.99,8.99,1.5,1.5 dz,Happy egg,Non-local,2900 University Ave. Suite 240,IA,West Des Moines,50266,2023-07-03,https://ww2.freshthyme.com/sm/planning/rsid/951/results?q=Eggs&take=48&f=Category%3AEggs,Fresh Thyme 
Happy Egg Heritage Breed Eggs - 1 Each,7.49,8.99,1.0,1 dz,Happy egg,Non-local,2900 University Ave. Suite 240,IA,West Des Moines,50266,2023-07-03,https://ww2.freshthyme.com/sm/planning/rsid/951/results?q=Eggs&take=48&f=Category%3AEggs,Fresh Thyme 
Penny Smart Large Grade A White Eggs - 1 Each,2.99,2.99,1.0,1 dz,Penny smart,Non-local,2900 University Ave. Suite 240,IA,West Des Moines,50266,2023-07-03,https://ww2.freshthyme.com/sm/planning/rsid/951/results?q=Eggs&take=48&f=Category%3AEggs,Fresh Thyme 
Happy Egg Organic Free Range Large Grade A Eggs - 1 Each,6.99,7.49,1.0,1 dz,Happy egg,Non-local,2900 University Ave. Suite 240,IA,West Des Moines,50266,2023-07-03,https://ww2.freshthyme.com/sm/planning/rsid/951/results?q=Eggs&take=48&f=Category%3AEggs,Fresh Thyme 
Happy Egg Free Range Large Grade A Brown Eggs - 1 Each,5.49,6.49,1.0,1 dz,Happy egg,Non-local,2900 University Ave. Suite 240,IA,West Des Moines,50266,2023-07-03,https://ww2.freshthyme.com/sm/planning/rsid/951/results?q=Eggs&take=48&f=Category%3AEggs,Fresh Thyme 
Vital Farms Organic Pasture Raised Large Eggs - 1 Each,7.49,9.99,1.0,1 dz,Vital farms,Non-local,2900 University Ave. Suite 240,IA,West Des Moines,50266,2023-07-03,https://ww2.freshthyme.com/sm/planning/rsid/951/results?q=Eggs&take=48&f=Category%3AEggs,Fresh Thyme 
Handsome Brook Farm Organic Pasture Raised Eggs - 1 Each,5.99,6.49,1.0,1 dz,Handsome brook farm,Non-local,2900 University Ave. Suite 240,IA,West Des Moines,50266,2023-07-03,https://ww2.freshthyme.com/sm/planning/rsid/951/results?q=Eggs&take=48&f=Category%3AEggs,Fresh Thyme 
Fresh Thyme Organic Large Grade A Brown Eggs - 1 Each,5.99,5.99,1.0,1 dz,Fresh thyme,Non-local,2900 University Ave. Suite 240,IA,West Des Moines,50266,2023-07-03,https://ww2.freshthyme.com/sm/planning/rsid/951/results?q=Eggs&take=48&f=Category%3AEggs,Fresh Thyme 
Vital Farms Pasture Raised Large Eggs - 1 Each,6.49,8.99,1.0,1 dz,Vital farms,Non-local,2900 University Ave. Suite 240,IA,West Des Moines,50266,2023-07-03,https://ww2.freshthyme.com/sm/planning/rsid/951/results?q=Eggs&take=48&f=Category%3AEggs,Fresh Thyme 
EGGS ORGANIC,5.49,5.49,1.0,Size: DOZEN,Stateline,Non-local,2002 Woodland Avenue,IA,Des Moines,50312,2023-07-03,https://gatewaymarket.storebyweb.com/s/1000-1/i/INV-1000-22775,Gateway Market 
EGGS FREE RANGE,4.99,4.99,1.0,Size: DOZEN,Stateline,Non-local,2002 Woodland Avenue,IA,Des Moines,50312,2023-07-03,https://gatewaymarket.storebyweb.com/s/1000-1/i/INV-1000-22776,Gateway Market 
ORGANIC LARGE BROWN EGGS,3.99,3.99,0.5,Size: 6 CT,Organic valley,Non-local,2002 Woodland Avenue,IA,Des Moines,50312,2023-07-03,https://gatewaymarket.storebyweb.com/s/1000-1/i/INV-1000-12603,Gateway Market 
Hy-Vee Grade A Large Eggs,1.99,2.39,1.0,12 ct,Hy-vee,Local,,,,,2023-07-03,https://www.hy-vee.com/aisles-online/p/57236/HyVee-Grade-A-Large-Eggs,Hyvee 
Hy-Vee Grade A Large Eggs,3.19,3.19,1.5,18 ct,Hy-vee,Local,,,,,2023-07-03,https://www.hy-vee.com/aisles-online/p/23899/HyVee-Grade-A-Large-Eggs,Hyvee 
Farmers Hen House Free Range Organic Large Brown Grade A Eggs,6.29,6.29,1.0,12 ct Carton,Farmers hen house,Local,,,,,2023-07-03,https://www.hy-vee.com/aisles-online/p/715446/Farmers-Hen-House-Free-Range-Organic-Large-Brown-Grade-A-Eggs,Hyvee 
That's Smart! Large Shell Eggs,1.79,1.79,1.0,12 ct,That's smart,Local,,,,,2023-07-03,https://www.hy-vee.com/aisles-online/p/2849570/Thats-Smart-Large-Shell-Eggs,Hyvee 
Farmers Hen House Free Range Grade A Large Brown Eggs,5.29,5.29,1.0,12 ct Carton,Farmers hen house,Local,,,,,2023-07-03,https://www.hy-vee.com/aisles-online/p/31351/Farmers-Hen-House-Free-Range-Grade-A-Large-Brown-Eggs,Hyvee 
Hy-Vee Grade A Extra Large Eggs,3.49,3.49,1.5,18 ct Carton,Hy-vee,Local,,,,,2023-07-03,https://www.hy-vee.com/aisles-online/p/23900/HyVee-Grade-A-Extra-Large-Eggs,Hyvee 
Egglands Best Farm Fresh Grade A Large Eggs,6.29,6.29,1.5,18 ct,Egglands best,Non-local,,,,,2023-07-03,https://www.hy-vee.com/aisles-online/p/71297/Egglands-Best-Farm-Fresh-Grade-A-Large-Eggs,Hyvee 
Eggland's Best Grade A Large Eggs,4.19,4.19,1.0,12 ct,Eggland's best,Non-local,,,,,2023-07-03,https://www.hy-vee.com/aisles-online/p/36345/Egglands-Best-Grade-A-Large-Eggs,Hyvee 
Hy-Vee Free Range Large Brown Egg Grade A,4.19,4.19,1.0,12 ct,Hy-vee,Local,,,,,2023-07-03,https://www.hy-vee.com/aisles-online/p/3192325/HyVee-Free-Range-Large-Brown-Egg-Grade-A,Hyvee 
Hy-Vee Grade A Jumbo Eggs,2.89,2.89,1.0,12 ct,Hy-vee,Local,,,,,2023-07-03,https://www.hy-vee.com/aisles-online/p/23903/HyVee-Grade-A-Jumbo-Eggs,Hyvee 
Hy-Vee Cage Free Large Brown Egg Grade A,6.29,6.29,1.5,18 ct,Hy-vee,Local,,,,,2023-07-03,https://www.hy-vee.com/aisles-online/p/3192323/HyVee-Cage-Free-Large-Brown-Egg-Grade-A,Hyvee 
Eggland's Best Cage Free Brown Grade A Large Eggs,5.79,5.79,1.0,12 ct,Eggland's best,Non-local,,,,,2023-07-03,https://www.hy-vee.com/aisles-online/p/36346/Egglands-Best-Cage-Free-Brown-Grade-A-Large-Eggs,Hyvee 
Hy-Vee Cage Free Large Brown Egg Grade A,4.19,4.19,1.0,12 ct,Hy-vee,Local,,,,,2023-07-03,https://www.hy-vee.com/aisles-online/p/3192322/HyVee-Cage-Free-Large-Brown-Egg-Grade-A,Hyvee 
Hy-Vee Cage Free Omega-3 Grade A Large Brown Eggs,4.19,4.19,1.0,12 ct,Hy-vee,Local,,,,,2023-07-03,https://www.hy-vee.com/aisles-online/p/858343/HyVee-Cage-Free-Omega3-Grade-A-Large-Brown-Eggs,Hyvee 
Farmers Hen House Pasture Raised Organic Grade A Large Brown Eggs,7.39,7.39,1.0,12 ct Carton,Farmers hen house,Local,,,,,2023-07-03,https://www.hy-vee.com/aisles-online/p/1901565/Farmers-Hen-House-Pasture-Raised-Organic-Grade-A-Large-Brown-Eggs,Hyvee 
Hy-Vee HealthMarket Organic Grade A Large Eggs,5.79,5.79,1.0,12 ct,Hy-vee,Local,,,,,2023-07-03,https://www.hy-vee.com/aisles-online/p/60364/HyVee-HealthMarket-Organic-Grade-A-Large-Eggs,Hyvee 
Eggland's Best Extra Large Eggs,4.49,4.49,1.0,12 ct,Eggland's best,Non-local,,,,,2023-07-03,https://www.hy-vee.com/aisles-online/p/71298/Egglands-Best-Extra-Large-Eggs,Hyvee 
Hy-Vee Grade A Extra Large Eggs,2.69,2.69,1.0,12 ct,Hy-vee,Local,,,,,2023-07-03,https://www.hy-vee.com/aisles-online/p/23902/HyVee-Grade-A-Extra-Large-Eggs,Hyvee 
Egglands Best XL Eggs,6.59,6.59,1.5,18 ct,Egglands best,Non-local,,,,,2023-07-03,https://www.hy-vee.com/aisles-online/p/453006/Egglands-Best-XL-Eggs,Hyvee 
Hy-Vee One Step Pasture Raised Large Brown Eggs,5.29,5.29,1.0,1 dz,Hy-vee,Local,,,,,2023-07-03,https://www.hy-vee.com/aisles-online/p/2668550/HyVee-One-Step-Pasture-Raised-Large-Brown-Eggs,Hyvee 
Farmers Hen House Jumbo Brown Eggs,5.29,5.29,1.0,12 ct,Farmers hen house,Local,,,,,2023-07-03,https://www.hy-vee.com/aisles-online/p/66622/Farmers-Hen-House-Jumbo-Brown-Eggs,Hyvee 
"Nellie's Eggs, Brown, Free Range, Large",8.39,8.39,1.5,18 ct,Nellie's,Non-local,,,,,2023-07-03,https://www.hy-vee.com/aisles-online/p/3274825/Nellies-Eggs-Brown-Free-Range-Large,Hyvee 
Hy-Vee Grade A Medium Eggs,1.99,1.99,1.0,12 ct,Hy-vee,Local,,,,,2023-07-03,https://www.hy-vee.com/aisles-online/p/57235/HyVee-Grade-A-Medium-Eggs,Hyvee 
"Pete And Gerry's Eggs, Organic, Brown, Free Range, Large",7.39,7.39,1.0,12 ct,Pete and gerry's eggs,Non-local,,,,,2023-07-03,https://www.hy-vee.com/aisles-online/p/2437128/Pete-And-Gerrys-Eggs-Organic-Brown-Free-Range-Large,Hyvee 
Eggland's Best Organic Cage Free Grade A Large Brown Eggs,7.19,7.19,1.0,12 ct,Eggland's best,Non-local,,,,,2023-07-03,https://www.hy-vee.com/aisles-online/p/36347/Egglands-Best-Organic-Cage-Free-Grade-A-Large-Brown-Eggs,Hyvee 
Nellie's Free Range Eggs Large Fresh Brown Grade A,6.29,6.29,1.0,12 ct,Nellie's,Non-local,,,,,2023-07-03,https://www.hy-vee.com/aisles-online/p/2698224/Nellies-Free-Range-Eggs-Large-Fresh-Brown-Grade-A,Hyvee 
Hy-Vee Grade A Large Eggs,1.39,1.39,0.5,6 ct,Hy-vee,Local,,,,,2023-07-03,https://www.hy-vee.com/aisles-online/p/57237/HyVee-Grade-A-Large-Eggs,Hyvee 
Farmers Hen House Organic Large Brown Eggs,3.69,3.69,0.5,6 ct,Farmers hen house,Local,,,,,2023-07-03,https://www.hy-vee.com/aisles-online/p/190508/Farmers-Hen-House-Organic-Large-Brown-Eggs,Hyvee 
"KMA Farm Fresh Eggs, 1 dozen",4.25,4.25,1.0,1 dz,Kymar acres,Local,200 Railroad Street,IA,Decorah,52101,2023-07-03,https://iowa-food-hub.myshopify.com/products/kma-farm-fresh-eggs-1-dozen?_pos=2&_sid=f6822ec47&_ss=r,Iowa Food Hub 
"CRF Free Range Eggs, Large - Dozen",5.0,5.0,1.0,1 dz,Cedar ridge farm,Local,200 Railroad Street,IA,Decorah,52101,2023-07-03,https://iowa-food-hub.myshopify.com/products/free-range-eggs?_pos=1&_sid=f6822ec47&_ss=r,Iowa Food Hub 
Free range eggs,5.0,5.0,1.0,1 dz,Joia food farm,local,2038 March Avenue,IA,Charles City,50616,2023-07-03,https://www.joiafoodfarm.com/farmstore/1mln8u54udaby8zgy3me268ekeos07,Joia Food Farm 
Duck eggs,6.0,6.0,0.5,0.5 dz,Joia food farm,local,2038 March Avenue,IA,Charles City,50616,2023-07-03,https://www.joiafoodfarm.com/farmstore/duck-eggs,Joia Food Farm 
"Farmers Hen House Eggs, Grade A, Free Range, Large Brown 12 ea",3.99,3.99,1.0,12 ea,Farmers hen house,Local,3338 Center Point Road Northeast,IA,Cedar Rapids,52402,2023-07-03,https://shop.newpi.coop/shop/refrigerated/eggs/cage_free/farmers_hen_house_eggs_grade_a_free_range_large_brown_12_ea/p/7110637,New Pioneer Co-Op 
"Farmers Hen House Eggs, White, Cage-Free, Large",3.49,3.49,1.0,12 ea,Farmers hen house,Local,3338 Center Point Road Northeast,IA,Cedar Rapids,52402,2023-07-03,https://shop.newpi.coop/shop/refrigerated/eggs/cage_free/farmers_hen_house_eggs_white_cage_free_large/p/7110638,New Pioneer Co-Op 
Farmers Hen House Eggs Large Brown Free Range,5.49,5.49,1.0,1 dozen,Farmers hen house,Local,3338 Center Point Road Northeast,IA,Cedar Rapids,52402,2023-07-03,https://shop.newpi.coop/shop/refrigerated/eggs/organic/farmers_hen_house_eggs_large_brown_free_range/p/7613595,New Pioneer Co-Op 
"Vital Farms Eggs, Organic, Pasture Raised, Large 12 ea",8.99,8.99,1.0,12 ea,Vital farms,Non-local,3338 Center Point Road Northeast,IA,Cedar Rapids,52402,2023-07-03,https://shop.newpi.coop/shop/refrigerated/eggs/organic/vital_farms_eggs_organic_pasture_raised_large_12_ea/p/5637123,New Pioneer Co-Op 
Sorry!,Out of Stock,Out of Stock,Out of Stock,Out of Stock,Out of Stock,Out of Stock,3338 Center Point Road Northeast,IA,Cedar Rapids,52402,2023-07-03,https://shop.newpi.coop/shop/refrigerated/eggs/hotz_eggs_dozen_xtra_large/p/1564405684714084840,New Pioneer Co-Op 
Farmers Hen House Eggs Jumbo Brown,5.99,5.99,1,1 dozen,Farmers hen house,Local,3338 Center Point Road Northeast,IA,Cedar Rapids,52402,2023-07-03,https://shop.newpi.coop/shop/refrigerated/eggs/cage_free/farmers_hen_house_eggs_jumbo_brown/p/7613596,New Pioneer Co-Op 
Cedar Ridge Farm Grade A Large Eggs,5.49,5.49,1,1 dozen,Cedar ridge farm,Local,3338 Center Point Road Northeast,IA,Cedar Rapids,52402,2023-07-03,https://shop.newpi.coop/shop/refrigerated/eggs/cage_free/cedar_ridge_farm_grade_a_large_eggs/p/1564405684704338616,New Pioneer Co-Op 
Farmers Hen House Eggs Og Pasture Lrg Brwn,6.99,6.99,1.0,12 ea,Farmers hen house,Local,3338 Center Point Road Northeast,IA,Cedar Rapids,52402,2023-07-03,https://shop.newpi.coop/shop/refrigerated/eggs/organic/farmers_hen_house_eggs_og_pasture_lrg_brwn/p/7613597,New Pioneer Co-Op 
Farmers Hen House Eggs Large Brown Free Range,2.79,2.79,1.0,half dozen,Farmers hen house,Local,3338 Center Point Road Northeast,IA,Cedar Rapids,52402,2023-07-03,https://shop.newpi.coop/shop/refrigerated/eggs/organic/farmers_hen_house_eggs_large_brown_free_range/p/1564405684703497142,New Pioneer Co-Op 
Vital Farms Large Pasture-Raised Eggs 12 ea,7.99,7.99,1.0,12 ea,Vital farms,Non-local,3338 Center Point Road Northeast,IA,Cedar Rapids,52402,2023-07-03,https://shop.newpi.coop/shop/refrigerated/eggs/organic/vital_farms_large_pasture_raised_eggs_12_ea/p/5323128,New Pioneer Co-Op 
"Vital Farms Eggs, Pasture-Raised, Large 18 ea",10.99,10.99,1.5,18 ea,Vital farms,Non-local,3338 Center Point Road Northeast,IA,Cedar Rapids,52402,2023-07-03,https://shop.newpi.coop/shop/refrigerated/eggs/vital_farms_eggs_pasture_raised_large_18_ea/p/1564405684690018196,New Pioneer Co-Op 
Organic Valley Free Range Brown Large Eggs 12 ea,3.99,5.99,1.0,12 ea,Organic valley,Non-local,3338 Center Point Road Northeast,IA,Cedar Rapids,52402,2023-07-03,https://shop.newpi.coop/shop/refrigerated/eggs/organic/organic_valley_free_range_brown_large_eggs_12_ea/p/48765,New Pioneer Co-Op 
Cedar Ridge Farm Grade A Extra Large Eggs,5.99,5.99,1,1 dozen,Cedar ridge farm,Local,3338 Center Point Road Northeast,IA,Cedar Rapids,52402,2023-07-03,https://shop.newpi.coop/shop/refrigerated/eggs/cage_free/cedar_ridge_farm_grade_a_extra_large_eggs/p/1564405684704338617,New Pioneer Co-Op 
Steinecke Family Farm Duck Eggs,5.99,5.99,0.5,6 pk,Steinecke family farm,Local,3338 Center Point Road Northeast,IA,Cedar Rapids,52402,2023-07-03,https://shop.newpi.coop/shop/refrigerated/eggs/steinecke_family_farm_duck_eggs/p/1564405684711593802,New Pioneer Co-Op 
Cosgrove Rd Farm Eggs Pasture Raised,5.99,5.99,1.0,dozen,Cosgrove rd farm,Local,3338 Center Point Road Northeast,IA,Cedar Rapids,52402,2023-07-03,https://shop.newpi.coop/shop/refrigerated/eggs/cosgrove_rd_farm_eggs_pasture_raised/p/1564405684710338102,New Pioneer Co-Op 
Cedar Ridge Farm Grade A Jumbo Eggs,6.49,6.49,1,1 dozen,Cedar ridge farm,Local,3338 Center Point Road Northeast,IA,Cedar Rapids,52402,2023-07-03,https://shop.newpi.coop/shop/refrigerated/eggs/cage_free/cedar_ridge_farm_grade_a_jumbo_eggs/p/1564405684704338619,New Pioneer Co-Op 
Sorry!,Out of Stock,Out of Stock,Out of Stock,Out of Stock,Out of Stock,Out of Stock,3338 Center Point Road Northeast,IA,Cedar Rapids,52402,2023-07-03,https://shop.newpi.coop/shop/refrigerated/eggs/hotz_eggs_large/p/1564405684704684702,New Pioneer Co-Op 
Sorry!,Out of Stock,Out of Stock,Out of Stock,Out of Stock,Out of Stock,Out of Stock,3338 Center Point Road Northeast,IA,Cedar Rapids,52402,2023-07-03,https://shop.newpi.coop/shop/refrigerated/eggs/hotz_eggs_medium/p/1564405684713746940,New Pioneer Co-Op 
"Farmers Hen House Eggs, Grade A, Free Range, Large Brown 12 ea",3.99,3.99,1.0,12 ea,Farmers hen house,Local,22 South Van Buren Street,IA,Iowa City,52240,2023-07-03,https://shop.newpi.coop/shop/refrigerated/eggs/cage_free/farmers_hen_house_eggs_grade_a_free_range_large_brown_12_ea/p/7110637,New Pioneer Co-Op 
"Farmers Hen House Eggs, White, Cage-Free, Large",3.49,3.49,1.0,12 ea,Farmers hen house,Local,22 South Van Buren Street,IA,Iowa City,52240,2023-07-03,https://shop.newpi.coop/shop/refrigerated/eggs/cage_free/farmers_hen_house_eggs_white_cage_free_large/p/7110638,New Pioneer Co-Op 
Farmers Hen House Eggs Large Brown Free Range,5.49,5.49,1,1 dozen,Farmers hen house,Local,22 South Van Buren Street,IA,Iowa City,52240,2023-07-03,https://shop.newpi.coop/shop/refrigerated/eggs/organic/farmers_hen_house_eggs_large_brown_free_range/p/7613595,New Pioneer Co-Op 
"Vital Farms Eggs, Organic, Pasture Raised, Large 12 ea",8.99,8.99,1.0,12 ea,Vital farms,Non-local,22 South Van Buren Street,IA,Iowa City,52240,2023-07-03,https://shop.newpi.coop/shop/refrigerated/eggs/organic/vital_farms_eggs_organic_pasture_raised_large_12_ea/p/5637123,New Pioneer Co-Op 
Hotz Eggs Dozen Xtra Large,4.99,4.99,1,1 dozen,Hotz eggs,Local,22 South Van Buren Street,IA,Iowa City,52240,2023-07-03,https://shop.newpi.coop/shop/refrigerated/eggs/hotz_eggs_dozen_xtra_large/p/1564405684714084840,New Pioneer Co-Op 
Farmers Hen House Eggs Jumbo Brown,5.99,5.99,1,1 dozen,Farmers hen house,Local,22 South Van Buren Street,IA,Iowa City,52240,2023-07-03,https://shop.newpi.coop/shop/refrigerated/eggs/cage_free/farmers_hen_house_eggs_jumbo_brown/p/7613596,New Pioneer Co-Op 
Cedar Ridge Farm Grade A Large Eggs,5.49,5.49,1,1 dozen,Cedar ridge farm,Local,22 South Van Buren Street,IA,Iowa City,52240,2023-07-03,https://shop.newpi.coop/shop/refrigerated/eggs/cage_free/cedar_ridge_farm_grade_a_large_eggs/p/1564405684704338616,New Pioneer Co-Op 
Farmers Hen House Eggs Og Pasture Lrg Brwn,6.99,6.99,1.0,12 ea,Farmers hen house,Local,22 South Van Buren Street,IA,Iowa City,52240,2023-07-03,https://shop.newpi.coop/shop/refrigerated/eggs/organic/farmers_hen_house_eggs_og_pasture_lrg_brwn/p/7613597,New Pioneer Co-Op 
Farmers Hen House Eggs Large Brown Free Range,2.79,2.79,1.0,half dozen,Farmers hen house,Local,22 South Van Buren Street,IA,Iowa City,52240,2023-07-03,https://shop.newpi.coop/shop/refrigerated/eggs/organic/farmers_hen_house_eggs_large_brown_free_range/p/1564405684703497142,New Pioneer Co-Op 
